word,happy,sad
able,-10.04187,-9.08524
2011,-10.04316,-10.90857
viernes,-10.04421,-10.36691
pictures,-10.04482,-10.38979
less,-10.04633,-9.9534
gws,-10.04699,-9.95545
estas,-10.0477,-9.76411
comer,-10.04826,-9.75708
biasa,-10.0486,-10.11977
tooo,-10.04902,-9.63266
oooi,-10.04947,-12.43404
fall,-10.05008,-9.52744
different,-10.05517,-10.23899
wonder,-10.05661,-9.94527
aint,-10.05861,-9.48279
gettin,-10.05884,-10.14929
indo,-10.06361,-10.13267
indonesia,-10.06373,-10.79951
harry,-10.06518,-10.57341
absolutely,-10.06528,-10.53762
seneng,-10.06663,-10.68763
bismillah,-10.06759,-12.32184
doain,-10.07132,-11.13194
dog,-10.07357,-9.33634
ava,-10.07378,-11.43329
wear,-10.07529,-9.89099
ladies,-10.07568,-11.21307
bus,-10.07696,-9.42107
tuesday,-10.07877,-9.90919
liked,-10.08021,-10.60011
episode,-10.08111,-9.80216
whatever,-10.08258,-10.58604
retweet,-10.08334,-10.48185
net,-10.08403,-9.63158
blue,-10.0856,-10.35327
lazy,-10.08562,-9.98227
kijken,-10.08615,-11.0294
leuk,-10.09114,-11.09811
matter,-10.09192,-10.44495
mari,-10.09311,-11.20457
idol,-10.09356,-10.57696
lord,-10.09781,-10.80519
english,-10.09992,-9.76368
tumblr,-10.10005,-10.16636
siap,-10.10051,-10.38767
:-),-10.10292,-10.76803
viendo,-10.10387,-10.61281
hallo,-10.10393,-12.15337
msh,-10.10436,-9.37916
message,-10.10457,-10.31677
study,-10.10481,-9.2524
exactly,-10.10927,-10.38387
ive,-10.10932,-9.54578
masuk,-10.10953,-9.41141
running,-10.11012,-9.85725
depois,-10.11031,-10.52322
final,-10.11129,-9.62684
instead,-10.11347,-9.55573
y'all,-10.11617,-10.80822
asleep,-10.11685,-9.05039
smoga,-10.11723,-11.09509
ngga,-10.11768,-9.18008
anymore,-10.11778,-8.4955
jersey,-10.11835,-10.55616
keren,-10.11873,-11.24759
kuliah,-10.12153,-9.62084
=),-10.12333,-10.74876
hhe,-10.12441,-10.89919
wooo,-10.12527,-10.95057
igual,-10.13022,-9.90739
temen,-10.13292,-9.79326
sii,-10.13429,-9.70113
knows,-10.13434,-10.46004
future,-10.13521,-11.0436
weird,-10.13547,-9.76812
random,-10.1375,-10.65805
page,-10.13849,-10.2928
hoping,-10.13886,-9.82323
ulang,-10.13903,-11.40794
